iid,alpha,num_clients,attack,defense,mean,std,n,seeds,last_epoch_min,last_epoch_max
iid,NA,20,ALIE,Mean,0.03412,0.0004707440918375923,5,"42,43,44,45,46",199,199
iid,NA,20,ALIE,NormClipping,0.048380000000000006,0.0004308131845707615,5,"42,43,44,45,46",199,199
iid,NA,20,ALIE,MultiKrum,0.04166,0.000749933330370106,5,"42,43,44,45,46",199,199
iid,NA,20,ALIE,FLTrust,0.04246,0.000615142259969189,5,"42,43,44,45,46",199,199
iid,NA,20,ALIE,FLDetector,0.03554,0.0002653299832284331,5,"42,43,44,45,46",199,199
iid,NA,20,ALIE,TriGuardFL,0.03424000000000001,0.0013215142829345436,5,"42,43,44,45,46",199,199
iid,NA,20,FangAttack,Mean,0.03276,0.0006151422599691866,5,"42,43,44,45,46",199,199
iid,NA,20,FangAttack,NormClipping,0.05068,0.0003867815921162753,5,"42,43,44,45,46",199,199
iid,NA,20,FangAttack,MultiKrum,0.040260000000000004,0.0002939387691339806,5,"42,43,44,45,46",199,199
iid,NA,20,FangAttack,FLTrust,0.042120000000000005,0.0005418486873657618,5,"42,43,44,45,46",199,199
iid,NA,20,FangAttack,FLDetector,0.06284,0.009345287582519868,5,"42,43,44,45,46",199,199
iid,NA,20,FangAttack,TriGuardFL,0.033019999999999994,0.0007332121111929337,5,"42,43,44,45,46",199,199
iid,NA,20,MinMax,Mean,0.03232,0.00031240998703626694,5,"42,43,44,45,46",199,199
iid,NA,20,MinMax,NormClipping,0.04884000000000001,0.00043174066289845717,5,"42,43,44,45,46",199,199
iid,NA,20,MinMax,MultiKrum,0.03326,0.0006916646586316243,5,"42,43,44,45,46",199,199
iid,NA,20,MinMax,FLTrust,0.0418,0.00046043457732885255,5,"42,43,44,45,46",199,199
iid,NA,20,MinMax,FLDetector,0.03222,0.00029933259094191414,5,"42,43,44,45,46",199,199
iid,NA,20,MinMax,TriGuardFL,0.0324,0.00045166359162544806,5,"42,43,44,45,46",199,199
iid,NA,20,MinSum,Mean,0.032139999999999995,0.0005678027826631365,5,"42,43,44,45,46",199,199
iid,NA,20,MinSum,NormClipping,0.0488,0.0003577708763999646,5,"42,43,44,45,46",199,199
iid,NA,20,MinSum,MultiKrum,0.03324,0.0006086049621881172,5,"42,43,44,45,46",199,199
iid,NA,20,MinSum,FLTrust,0.04196,0.00048414873747640774,5,"42,43,44,45,46",199,199
iid,NA,20,MinSum,FLDetector,0.0322,0.0004816637831516915,5,"42,43,44,45,46",199,199
iid,NA,20,MinSum,TriGuardFL,0.0324,0.000593295878967654,5,"42,43,44,45,46",199,199
iid,NA,20,NoAttack,NoAttack+Mean(Base),0.031059999999999997,0.0006280127387243027,5,"42,43,44,45,46",199,199
iid,NA,40,ALIE,Mean,0.025580000000000002,0.00033105890714493655,5,"42,43,44,45,46",199,199
iid,NA,40,ALIE,NormClipping,0.045,0.00030331501776206294,5,"42,43,44,45,46",199,199
iid,NA,40,ALIE,MultiKrum,0.039540000000000006,0.00018547236990991444,5,"42,43,44,45,46",199,199
iid,NA,40,ALIE,FLTrust,0.03886,0.0003006659275674598,5,"42,43,44,45,46",199,199
iid,NA,40,ALIE,FLDetector,0.028239999999999998,0.00045869379764718835,5,"42,43,44,45,46",199,199
iid,NA,40,ALIE,TriGuardFL,0.025640000000000003,0.00026532998322843283,5,"42,43,44,45,46",199,199
iid,NA,40,FangAttack,Mean,0.04508,0.0009410632284814867,5,"42,43,44,45,46",199,199
iid,NA,40,FangAttack,NormClipping,0.053959999999999994,0.0004498888751680807,5,"42,43,44,45,46",199,199
iid,NA,40,FangAttack,MultiKrum,0.02776,0.0005425863986500216,5,"42,43,44,45,46",199,199
iid,NA,40,FangAttack,FLTrust,0.03828,0.00014696938456698998,5,"42,43,44,45,46",199,199
iid,NA,40,FangAttack,FLDetector,0.0648,0.005837465203322414,5,"42,43,44,45,46",199,199
iid,NA,40,FangAttack,TriGuardFL,0.024200000000000003,0.00039496835316263026,5,"42,43,44,45,46",199,199
iid,NA,40,MinMax,Mean,0.024100000000000003,0.00026076809620810543,5,"42,43,44,45,46",199,199
iid,NA,40,MinMax,NormClipping,0.04544,0.00022449944320643747,5,"42,43,44,45,46",199,199
iid,NA,40,MinMax,MultiKrum,0.024640000000000002,0.00016248076809271823,5,"42,43,44,45,46",199,199
iid,NA,40,MinMax,FLTrust,0.03816,0.0002332380757938105,5,"42,43,44,45,46",199,199
iid,NA,40,MinMax,FLDetector,0.024080000000000004,0.00023151673805580405,5,"42,43,44,45,46",199,199
iid,NA,40,MinMax,TriGuardFL,0.02406,0.00014966629547095674,5,"42,43,44,45,46",199,199
iid,NA,40,MinSum,Mean,0.024120000000000003,0.0002481934729198172,5,"42,43,44,45,46",199,199
iid,NA,40,MinSum,NormClipping,0.04544,0.0002799999999999987,5,"42,43,44,45,46",199,199
iid,NA,40,MinSum,MultiKrum,0.024560000000000002,0.00024166091947189073,5,"42,43,44,45,46",199,199
iid,NA,40,MinSum,FLTrust,0.038040000000000004,0.00017435595774162684,5,"42,43,44,45,46",199,199
iid,NA,40,MinSum,FLDetector,0.024060000000000005,0.00025768197453450214,5,"42,43,44,45,46",199,199
iid,NA,40,MinSum,TriGuardFL,0.02418,0.00022271057451320054,5,"42,43,44,45,46",199,199
iid,NA,40,NoAttack,NoAttack+Mean(Base),0.023379999999999995,0.00016000000000000023,5,"42,43,44,45,46",199,199
iid,NA,60,ALIE,Mean,0.02596,0.0003136877428271621,5,"42,43,44,45,46",199,199
iid,NA,60,ALIE,NormClipping,0.04528,0.0002785677655436829,5,"42,43,44,45,46",199,199
iid,NA,60,ALIE,MultiKrum,0.04354,0.0005199999999999996,5,"42,43,44,45,46",199,199
iid,NA,60,ALIE,FLTrust,0.03926,0.0003666060555964676,5,"42,43,44,45,46",199,199
iid,NA,60,ALIE,FLDetector,0.02814,0.0006858571279792897,5,"42,43,44,45,46",199,199
iid,NA,60,ALIE,TriGuardFL,0.025980000000000003,0.0003599999999999994,5,"42,43,44,45,46",199,199
iid,NA,60,FangAttack,Mean,0.038400000000000004,0.002199999999999997,2,"42,43",197,199
iid,NA,60,FangAttack,NormClipping,0.055999999999999994,0.0011000000000000003,2,"42,43",164,199
iid,NA,60,FangAttack,MultiKrum,0.02895,0.0006500000000000013,2,"42,43",146,199
iid,NA,60,FangAttack,FLTrust,0.04203333333333333,0.005069078373388555,3,"42,43,44",61,199
iid,NA,60,FangAttack,FLDetector,0.04675,0.0072499999999999995,2,"42,43",163,199
iid,NA,60,FangAttack,TriGuardFL,0.0242,9.99999999999994e-05,2,"42,43",154,199
iid,NA,60,MinMax,Mean,0.02398,0.0003310589071449369,5,"42,43,44,45,46",199,199
iid,NA,60,MinMax,NormClipping,0.04578,0.00023999999999999892,5,"42,43,44,45,46",199,199
iid,NA,60,MinMax,MultiKrum,0.02506,0.0003720215047547649,5,"42,43,44,45,46",199,199
iid,NA,60,MinMax,FLTrust,0.038540000000000005,0.00026532998322843223,5,"42,43,44,45,46",199,199
iid,NA,60,MinMax,FLDetector,0.024020000000000003,0.00037629775444453467,5,"42,43,44,45,46",199,199
iid,NA,60,MinMax,TriGuardFL,0.023899999999999998,0.0004147288270665546,5,"42,43,44,45,46",199,199
iid,NA,60,MinSum,Mean,0.02404,0.0003773592452822648,5,"42,43,44,45,46",199,199
iid,NA,60,MinSum,NormClipping,0.046060000000000004,0.00020591260281974092,5,"42,43,44,45,46",199,199
iid,NA,60,MinSum,MultiKrum,0.025240000000000002,0.00025768197453450214,5,"42,43,44,45,46",199,199
iid,NA,60,MinSum,FLTrust,0.03858,0.00033704599092705483,5,"42,43,44,45,46",199,199
iid,NA,60,MinSum,FLDetector,0.02396,0.0003072458299147441,5,"42,43,44,45,46",199,199
iid,NA,60,MinSum,TriGuardFL,0.02376,0.00020591260281974038,5,"42,43,44,45,46",199,199
iid,NA,60,NoAttack,NoAttack+Mean(Base),0.02418,0.0003187475490101848,5,"42,43,44,45,46",199,199
non-iid,1,20,ALIE,Mean,0.02916,0.0003261901286060018,5,"42,43,44,45,46",199,199
non-iid,1,20,ALIE,NormClipping,0.04762,0.0004791659420284378,5,"42,43,44,45,46",199,199
non-iid,1,20,ALIE,MultiKrum,0.03612,0.0005268775948927803,5,"42,43,44,45,46",199,199
non-iid,1,20,ALIE,FLTrust,0.04092,0.00038157568056677686,5,"42,43,44,45,46",199,199
non-iid,1,20,ALIE,FLDetector,0.030459999999999997,0.00037202150475476576,5,"42,43,44,45,46",199,199
non-iid,1,20,ALIE,TriGuardFL,0.029059999999999996,0.00031368774282716175,5,"42,43,44,45,46",199,199
non-iid,1,20,FangAttack,Mean,0.02938,0.0003655133376499416,5,"42,43,44,45,46",199,199
non-iid,1,20,FangAttack,NormClipping,0.05012,0.00035440090293338853,5,"42,43,44,45,46",199,199
non-iid,1,20,FangAttack,MultiKrum,0.03774,0.0004673328578219177,5,"42,43,44,45,46",199,199
non-iid,1,20,FangAttack,FLTrust,0.04072,0.0005491812087098393,5,"42,43,44,45,46",199,199
non-iid,1,20,FangAttack,FLDetector,0.04496,0.00310328857826661,5,"42,43,44,45,46",199,199
non-iid,1,20,FangAttack,TriGuardFL,0.027979999999999998,0.00043543082114154506,5,"42,43,44,45,46",199,199
non-iid,1,20,MinMax,Mean,0.028339999999999997,0.00034985711369071756,5,"42,43,44,45,46",199,199
non-iid,1,20,MinMax,NormClipping,0.04838,0.0003487119154832557,5,"42,43,44,45,46",199,199
non-iid,1,20,MinMax,MultiKrum,0.029459999999999997,0.0004409081537009718,5,"42,43,44,45,46",199,199
non-iid,1,20,MinMax,FLTrust,0.040639999999999996,0.0005986651818838301,5,"42,43,44,45,46",199,199
non-iid,1,20,MinMax,FLDetector,0.02826,0.0005238320341483527,5,"42,43,44,45,46",199,199
non-iid,1,20,MinMax,TriGuardFL,0.0283,0.0003847076812334271,5,"42,43,44,45,46",199,199
non-iid,1,20,MinSum,Mean,0.02828,0.0004955804677345551,5,"42,43,44,45,46",199,199
non-iid,1,20,MinSum,NormClipping,0.0485,0.00026832815729997727,5,"42,43,44,45,46",199,199
non-iid,1,20,MinSum,MultiKrum,0.030119999999999997,0.0008059776671843957,5,"42,43,44,45,46",199,199
non-iid,1,20,MinSum,FLTrust,0.04056,0.00048414873747640915,5,"42,43,44,45,46",199,199
non-iid,1,20,MinSum,FLDetector,0.02844,0.0003006659275674579,5,"42,43,44,45,46",199,199
non-iid,1,20,MinSum,TriGuardFL,0.028259999999999997,0.00037202150475476554,5,"42,43,44,45,46",199,199
non-iid,1,20,NoAttack,NoAttack+Mean(Base),0.0269,0.0002756809750418038,5,"42,43,44,45,46",199,199
non-iid,1,40,ALIE,Mean,0.027739999999999997,0.0007031358332498787,5,"42,43,44,45,46",199,199
non-iid,1,40,ALIE,NormClipping,0.04723999999999999,0.00030724582991474456,5,"42,43,44,45,46",199,199
non-iid,1,40,ALIE,MultiKrum,0.042660000000000003,0.0012338557452149733,5,"42,43,44,45,46",199,199
non-iid,1,40,ALIE,FLTrust,0.04116,0.00018547236990991444,5,"42,43,44,45,46",199,199
non-iid,1,40,ALIE,FLDetector,0.029920000000000002,0.0007359347797189645,5,"42,43,44,45,46",199,199
non-iid,1,40,ALIE,TriGuardFL,0.027639999999999998,0.0005571355310873652,5,"42,43,44,45,46",199,199
non-iid,1,40,FangAttack,Mean,0.044340000000000004,0.001769293644367717,5,"42,43,44,45,46",199,199
non-iid,1,40,FangAttack,NormClipping,0.05858,0.006668553066445526,5,"42,43,44,45,46",99,199
non-iid,1,40,FangAttack,MultiKrum,0.030939999999999995,0.000628012738724302,5,"42,43,44,45,46",153,199
non-iid,1,40,FangAttack,FLTrust,0.04054,0.00010198039027185561,5,"42,43,44,45,46",199,199
non-iid,1,40,FangAttack,FLDetector,0.060140000000000006,0.002371160053644628,5,"42,43,44,45,46",199,199
non-iid,1,40,FangAttack,TriGuardFL,0.02582,0.0006273754856543252,5,"42,43,44,45,46",199,199
non-iid,1,40,MinMax,Mean,0.02586,0.0006916646586316231,5,"42,43,44,45,46",199,199
non-iid,1,40,MinMax,NormClipping,0.04792,0.00021354156504062443,5,"42,43,44,45,46",199,199
non-iid,1,40,MinMax,MultiKrum,0.026820000000000004,0.0006705221845696075,5,"42,43,44,45,46",199,199
non-iid,1,40,MinMax,FLTrust,0.040260000000000004,0.00013564659966250678,5,"42,43,44,45,46",199,199
non-iid,1,40,MinMax,FLDetector,0.02592,0.0005035871324805678,5,"42,43,44,45,46",199,199
non-iid,1,40,MinMax,TriGuardFL,0.02572,0.0006968500556073739,5,"42,43,44,45,46",199,199
non-iid,1,40,MinSum,Mean,0.026119999999999997,0.000655438784326957,5,"42,43,44,45,46",199,199
non-iid,1,40,MinSum,NormClipping,0.04838,0.00028565713714171414,5,"42,43,44,45,46",199,199
non-iid,1,40,MinSum,MultiKrum,0.02842,0.0012749901960407378,5,"42,43,44,45,46",199,199
non-iid,1,40,MinSum,FLTrust,0.04048,0.000337045990927054,5,"42,43,44,45,46",199,199
non-iid,1,40,MinSum,FLDetector,0.026000000000000002,0.000562138772902208,5,"42,43,44,45,46",199,199
non-iid,1,40,MinSum,TriGuardFL,0.025739999999999996,0.0005003998401278716,5,"42,43,44,45,46",199,199
non-iid,1,40,NoAttack,NoAttack+Mean(Base),0.025140000000000003,0.0005535341001239226,5,"42,43,44,45,46",199,199
non-iid,1,60,ALIE,Mean,0.027140000000000004,0.00041761226035642217,5,"42,43,44,45,46",199,199
non-iid,1,60,ALIE,NormClipping,0.04696,0.00027276363393971597,5,"42,43,44,45,46",199,199
non-iid,1,60,ALIE,MultiKrum,0.04515999999999999,0.00029393876913397953,5,"42,43,44,45,46",199,199
non-iid,1,60,ALIE,FLTrust,0.04102,0.0003310589071449373,5,"42,43,44,45,46",199,199
non-iid,1,60,ALIE,FLDetector,0.02898,0.000299332590941915,5,"42,43,44,45,46",199,199
non-iid,1,60,ALIE,TriGuardFL,0.02708,0.00029933259094191473,5,"42,43,44,45,46",199,199
non-iid,1,60,FangAttack,Mean,0.038650000000000004,0.0023500000000000014,2,"42,43",175,199
non-iid,1,60,FangAttack,NormClipping,0.0593,0.003700000000000002,2,"42,43",153,199
non-iid,1,60,FangAttack,MultiKrum,0.0303,0.0010999999999999985,2,"42,43",129,199
non-iid,1,60,FangAttack,FLTrust,0.042666666666666665,0.002718251071716681,3,"42,43,44",85,199
non-iid,1,60,FangAttack,FLDetector,0.0484,0.0006999999999999992,2,"42,43",161,199
non-iid,1,60,FangAttack,TriGuardFL,0.026,0.0011000000000000003,2,"42,43",115,199
non-iid,1,60,MinMax,Mean,0.025,0.0002756809750418043,5,"42,43,44,45,46",199,199
non-iid,1,60,MinMax,NormClipping,0.048375,0.0011945187315400292,4,"42,43,44,45",133,199
non-iid,1,60,MinMax,MultiKrum,0.025839999999999995,0.00045869379764718797,5,"42,43,44,45,46",199,199
non-iid,1,60,MinMax,FLTrust,0.040139999999999995,0.0003498571136907192,5,"42,43,44,45,46",199,199
non-iid,1,60,MinMax,FLDetector,0.02472,0.0003187475490101839,5,"42,43,44,45,46",199,199
non-iid,1,60,MinMax,TriGuardFL,0.0247,0.0003286335345030998,5,"42,43,44,45,46",199,199
non-iid,1,60,MinSum,Mean,0.02488,0.000278567765543682,5,"42,43,44,45,46",199,199
non-iid,1,60,MinSum,NormClipping,0.048620000000000003,0.0003187475490101844,5,"42,43,44,45,46",199,199
non-iid,1,60,MinSum,MultiKrum,0.027479999999999997,0.0008772684879784519,5,"42,43,44,45,46",199,199
non-iid,1,60,MinSum,FLTrust,0.04052,0.0005192301994298857,5,"42,43,44,45,46",199,199
non-iid,1,60,MinSum,FLDetector,0.0249,0.0003687817782917159,5,"42,43,44,45,46",199,199
non-iid,1,60,MinSum,TriGuardFL,0.02472,0.00024000000000000058,5,"42,43,44,45,46",199,199
non-iid,1,60,NoAttack,NoAttack+Mean(Base),0.0245,0.0003949683531626297,5,"42,43,44,45,46",199,199
non-iid,0.5,20,ALIE,Mean,0.03028,0.00048332183894378265,5,"42,43,44,45,46",199,199
non-iid,0.5,20,ALIE,NormClipping,0.048639999999999996,0.0004127953488110068,5,"42,43,44,45,46",199,199
